year,month,date,title,frequency,type,country,field
1909,2,9,Dean Rusk,annual,birthday,United States,Secretary of State
1888,2,25,John Foster Dulles,annual,birthday,United States,Secretary of State
1937,4,5,Colin Powell,annual,birthday,United States,Secretary of State
1893,4,11,Dean Acheson,annual,birthday,United States,Secretary of State
1930,4,28,James Baker,annual,birthday,United States,Secretary of State
1937,5,15,Madeleine Albright,annual,birthday,United States,Secretary of State
1801,5,16,William H. Seward,annual,birthday,United States,Secretary of State
1923,5,27,Henry Kissinger,annual,birthday,United States,Secretary of State
1871,10,2,Cordell Hull,annual,birthday,United States,Secretary of State
1947,10,26,Hillary Clinton,annual,birthday,United States,Secretary of State
1925,10,27,Warren Christopher,annual,birthday,United States,Secretary of State
1954,11,14,Condoleezza Rice,annual,birthday,United States,Secretary of State
1920,12,13,George Shultz,annual,birthday,United States,Secretary of State
1880,12,31,George C. Marshall,annual,birthday,United States,Secretary of State
