year,month,date,title,frequency,type,country,field
1,1,1,New Year's Day,annual,holiday,International,
1975,1,1,Eiichiro Oda,annual,birthday,Japan,Mangaka
1914,1,1,Nguyễn Chí Thanh,annual,birthday,Vietnam,General
1960,1,2,Naoki Urasawa,annual,birthday,Japan,Mangaka
1942,1,2,Dennis Hastert,annual,birthday,United States,Speaker of the House
1892,1,3,J.R.R. Tolkien,annual,birthday,United Kingdom,Literature
1766,1,3,Nguyễn Du,annual,birthday,Vietnam,Literature
1643,1,4,Isaac Newton,annual,birthday,United Kingdom,Physics
1986,1,4,James Milner,annual,birthday,United Kingdom,Football
1990,1,4,Toni Kroos,annual,birthday,Germany,Football
1941,1,5,Hayao Miyazaki,annual,birthday,Japan,Mangaka
1882,1,6,Sam Rayburn,annual,birthday,United States,Speaker of the House
1955,1,6,Rowan Atkinson,annual,birthday,United Kingdom,Comedy
1800,1,7,Millard Fillmore,annual,birthday,United States,President
1942,1,8,Stephen Hawking,annual,birthday,United Kingdom,Physics
1986,1,8,David Silva,annual,birthday,Spain,Football
1902,1,8,Carl Rogers,annual,birthday,United States,Psychology
1913,1,9,Richard Nixon,annual,birthday,United States,President
1878,1,9,John B. Watson,annual,birthday,United States,Psychology
1757,1,11,Alexander Hamilton,annual,birthday,United States,Secretary of the Treasury
1987,1,11,Jamie Vardy,annual,birthday,United Kingdom,Football
1990,1,12,Sergey Karjakin,annual,birthday,Russia,Chess
1949,1,12,Murakami Haruki,annual,birthday,Japan,Literature
1997,1,13,Luis Díaz,annual,birthday,Colombia,Football
1808,1,13,Salmon P. Chase,annual,birthday,United States,Supreme Court Chief Justice
1929,1,15,"Martin Luther King, Jr.",annual,birthday,United States,
1995,1,16,Minamino Takumi,annual,birthday,Japan,Football
1706,1,17,Benjamin Franklin,annual,birthday,United States,Polymath
1971,1,18,Pep Guardiola,annual,birthday,Spain,Football
1809,1,19,Edgar Allan Poe,annual,birthday,United States,Literature
1930,1,20,Buzz Aldrin,annual,birthday,United States,Astronaut
2008,1,20,Breaking Bad,annual,released,United States,TV Series
1561,1,22,Francis Bacon,annual,birthday,United Kingdom,Philosophy
1890,1,22,Fred M. Vinson,annual,birthday,United States,Supreme Court Chief Justice
1987,1,24,Luis Suárez,annual,birthday,Uruguay,Football
1942,1,25,Eusébio,annual,birthday,Portugal,Football
1980,1,25,Xavi,annual,birthday,Spain,Football
1788,1,26,Australia Day,annual,holiday,Australia,
1963,1,26,José Mourinho,annual,birthday,Portugal,Football
1756,1,27,Wolfgang Amadeus Mozart,annual,birthday,Austria,
1955,1,27,John Roberts,annual,birthday,United States,Supreme Court Chief Justice
1978,1,28,Jamie Carragher,annual,birthday,United Kingdom,Football
1843,1,29,William McKinley,annual,birthday,United States,President
1882,1,30,Franklin D. Roosevelt,annual,birthday,United States,President
1937,1,30,Boris Spassky,annual,birthday,Russia,Chess
1736,1,30,James Watt,annual,birthday,United Kingdom,Engineer
1830,1,31,James G. Blaine,annual,birthday,United States,Speaker of the House
1915,2,1,Stanley Matthews,annual,birthday,United Kingdom,Football
2013,2,2,House of Cards,annual,released,United States,
1987,2,2,Gerard Piqué,annual,birthday,Spain,Football
1953,2,4,Jerome Powell,annual,birthday,United States,Chair of the Federal Reserve
1985,2,5,Cristiano Ronaldo,annual,birthday,Portugal,Football
1992,2,5,Neymar,annual,birthday,Brazil,Football
1911,2,6,Ronald Reagan,annual,birthday,United States,President
1812,2,7,Charles Dickens,annual,birthday,United Kingdom,Literature
1907,2,9,Trường Chinh,annual,birthday,Vietnam,
1993,2,9,Endō Wataru,annual,birthday,Japan,Football
1773,2,9,William Henry Harrison,annual,birthday,United States,President
1988,2,10,Daniel Kwan,annual,birthday,United States,Director
1847,2,11,Thomas Edison,annual,birthday,United States,Engineer
1833,2,11,Melville Fuller,annual,birthday,United States,Supreme Court Chief Justice
1809,2,12,Abraham Lincoln,annual,birthday,United States,President
1809,2,12,Charles Darwin,annual,birthday,United Kingdom,Biology
0,2,14,Valentine’s Day,annual,celebration,International,
1951,2,14,Kevin Keegan,annual,birthday,England,Football
1564,2,15,Galileo Galilei,annual,birthday,Italy,Physics
1835,2,15,Nguyễn Khuyến,annual,birthday,Vietnam,
1934,2,15,Paul Ekman,annual,birthday,United States,Psychology
1963,2,17,Michael Jordan,annual,birthday,United States,Basketball
1965,2,18,Dr. Dre,annual,birthday,United States,
1967,2,18,Roberto Baggio,annual,birthday,Italy,Football
1995,2,19,Nikola Jokić,annual,birthday,Serbia,Basketball
1979,2,21,Jordan Peele,annual,birthday,United States,Director
1732,2,22,George Washington,annual,birthday,United States,President
1976,2,24,Yuval Noah Harari,annual,birthday,Israel,Historian
1802,2,26,Victor Hugo,annual,birthday,France,Literature
1906,3,1,Phạm Văn Đồng,annual,birthday,Vietnam,
1980,3,1,Ron Weasley,annual,birthday,United Kingdom,Fictional
1968,3,2,Daniel Craig,annual,birthday,United States,Actor
1931,3,2,Mikhail Gorbachev,annual,birthday,Russia,President
1847,3,3,Alexander Graham Bell,annual,birthday,United States,Engineer
1678,3,4,Antonio Vivaldi,annual,birthday,Italy,Music
1951,3,4,Kenny Dalglish,annual,birthday,United Kingdom,Football
