year,month,date,title,frequency,type,country,field
1963,1,21,Hakeem Olajuwon,annual,birthday,United States,Nigeria
1934,2,12,Bill Russell,annual,birthday,United States,Basketball
1963,2,17,Michael Jordan,annual,birthday,United States,Basketball
1995,2,19,Nikola Jokić,annual,birthday,Serbia,Basketball
1999,2,28,Luka Dončić,annual,birthday,Slovenia,Basketball
1998,3,3,Jayson Tatum,annual,birthday,United States,Basketball
1972,3,6,Shaquille O'Neal,annual,birthday,United States,Basketball
1993,3,11,Anthony Davis,annual,birthday,United States,Basketball
1988,3,14,Stephen Curry,annual,birthday,United States,Basketball
1994,3,16,Joel Embiid,annual,birthday,United States,Basketball
1947,4,16,Kareem Abdul-Jabbar,annual,birthday,United States,Basketball
1976,4,25,Tim Duncan,annual,birthday,United States,Basketball
1984,5,6,Chris Paul,annual,birthday,United States,Basketball
1978,6,19,Dirk Nowitzki,annual,birthday,Germany,Basketball
1959,8,14,Magic Johnson,annual,birthday,United States,Basketball
1936,8,21,Wilt Chamberlain,annual,birthday,United States,Basketball
1978,8,23,Kobe Bryant,annual,birthday,United States,Basketball
1989,8,26,James Harden,annual,birthday,United States,Basketball
1988,9,29,Kevin Durant,annual,birthday,United States,Basketball
1996,10,24,Jaylen Brown,annual,birthday,United States,Basketball
1988,11,12,Russell Westbrook,annual,birthday,United States,Basketball
1994,12,6,Giannis Antetokounmpo,annual,birthday,Greece,Basketball
1956,12,7,Larry Bird,annual,birthday,United States,Basketball
1984,12,30,LeBron James,annual,birthday,United States,Basketball
