year,month,date,title,frequency,type,country,field
1,1,1,New Year's Day,annual,holiday,International,
1975,1,1,Eiichiro Oda,annual,birthday,Japan,Mangaka
1914,1,1,Nguyễn Chí Thanh,annual,birthday,Vietnam,General
1960,1,2,Naoki Urasawa,annual,birthday,Japan,Mangaka
1892,1,3,J.R.R. Tolkien,annual,birthday,United Kingdom,Literature
1766,1,3,Nguyễn Du,annual,birthday,Vietnam,Literature
1941,1,5,Hayao Miyazaki,annual,birthday,Japan,Mangaka
1955,1,6,Rowan Atkinson,annual,birthday,United Kingdom,Comedy
1920,1,10,League of Nations,annual,established,International,
1949,1,12,Murakami Haruki,annual,birthday,Japan,Literature
1875,1,14,Albert Schweitzer,annual,birthday,France,Philosophy
1929,1,15,"Martin Luther King, Jr.",annual,birthday,United States,
1706,1,17,Benjamin Franklin,annual,birthday,United States,Polymath
1809,1,19,Edgar Allan Poe,annual,birthday,United States,Literature
1930,1,20,Buzz Aldrin,annual,birthday,United States,Astronaut
2008,1,20,Breaking Bad,annual,released,United States,TV Series
1561,1,22,Francis Bacon,annual,birthday,United Kingdom,Philosophy
1788,1,26,Australia Day,annual,holiday,Australia,
1756,1,27,Wolfgang Amadeus Mozart,annual,birthday,Austria,
2013,2,2,House of Cards,annual,released,United States,
1953,2,4,Jerome Powell,annual,birthday,United States,Chair of the Federal Reserve
1812,2,7,Charles Dickens,annual,birthday,United Kingdom,Literature
1907,2,9,Trường Chinh,annual,birthday,Vietnam,
1988,2,10,Daniel Kwan,annual,birthday,United States,Director
1847,2,11,Thomas Edison,annual,birthday,United States,Engineer
1809,2,12,Charles Darwin,annual,birthday,United Kingdom,Biology
0,2,14,Valentine’s Day,annual,celebration,International,
1835,2,15,Nguyễn Khuyến,annual,birthday,Vietnam,
1965,2,18,Dr. Dre,annual,birthday,United States,
1979,2,21,Jordan Peele,annual,birthday,United States,Director
1976,2,24,Yuval Noah Harari,annual,birthday,Israel,Historian
1802,2,26,Victor Hugo,annual,birthday,France,Literature
1906,3,1,Phạm Văn Đồng,annual,birthday,Vietnam,
1980,3,1,Ron Weasley,annual,birthday,United Kingdom,Fictional
1968,3,2,Daniel Craig,annual,birthday,United States,Actor
1931,3,2,Mikhail Gorbachev,annual,birthday,Russia,President
1847,3,3,Alexander Graham Bell,annual,birthday,United States,Engineer
1678,3,4,Antonio Vivaldi,annual,birthday,Italy,Music
1475,3,6,Michelangelo,annual,birthday,Italy,Architecture
0,3,8,Women’s Day,annual,celebration,International,
1989,3,9,Kim Tae Yeon,annual,birthday,Korea,Singer
1934,3,10,Motoo Abiko,annual,birthday,Japan,Mangaka
1936,3,11,Antonin Scalia,annual,birthday,United States,Supreme Court Justice
1956,3,13,Jamie Dimon,annual,birthday,United States,Banker
1933,3,15,Ruth Bader Ginsburg,annual,birthday,United States,Supreme Court Justice
1971,3,22,Keegan-Michael Key,annual,birthday,United States,Comedy
1912,3,23,Wernher von Braun,annual,birthday,Germany,Engineer
1947,3,25,Elton John,annual,birthday,United Kingdom,Singer
1963,3,27,Quentin Tarantino,annual,birthday,United States,Director
1943,3,29,John Major,annual,birthday,United Kingdom,Prime Minister
1853,3,30,Vincent van Gogh,annual,birthday,Netherlands,Painter
1685,3,31,Johann Sebastian Bach,annual,birthday,Germany,Music
1805,4,2,Hans Christian Andersen,annual,birthday,Denmark,Literature
1934,4,3,Jane Goodall,annual,birthday,United Kingdom,
1961,4,3,Eddie Murphy,annual,birthday,United States,Comedy
1910,4,4,Đặng Văn Ngữ,annual,birthday,Vietnam,
1955,4,5,Akira Toriyama,annual,birthday,Japan,Mangaka
1483,4,6,Raphael,annual,birthday,Italy,Architecture
1907,4,7,Lê Duẩn,annual,birthday,Vietnam,
1947,4,12,David Letterman,annual,birthday,United States,Comedy
1452,4,15,Leonardo da Vinci,annual,birthday,Italy,Polymath
1894,4,15,Nikita Khrushchev,annual,birthday,Russia,Premier
1889,4,16,Charlie Chaplin,annual,birthday,United Kingdom,Comedy
1946,4,17,Independence Day,annual,holiday,Syria,
1889,4,20,Adolf Hitler,annual,birthday,Germany,Chancellor
1745,4,20,Philippe Pinel,annual,birthday,France,Physician
1926,4,21,Elizabeth II,annual,birthday,United Kingdom,Monarch
1947,4,25,ANZAC Day (Australia & New Zealand),annual,celebration,Australia,
1977,4,23,John Oliver,annual,birthday,United Kingdom,Comedy
1970,4,29,Andre Agassi,annual,birthday,United States,
0,4,30,Reunification Day,annual,holiday,Vietnam,
1777,4,30,Carl Friedrich Gauss,annual,birthday,Germany,Polymath
1916,4,30,Claude Shannon,annual,birthday,United States,Mathematics
0,5,1,Workers’ Day,annual,holiday,International,
1729,5,2,Catherine the Great,annual,birthday,Russia,Empress
1898,5,3,Golda Meir,annual,birthday,Israel,Prime Minister
1818,5,5,Karl Marx,annual,birthday,Germany,Economist
1953,5,6,Tony Blair,annual,birthday,United Kingdom,Prime Minister
1909,5,7,Phạm Ngọc Thạch,annual,birthday,Vietnam,
1996,5,7,Lee Sang-hyeok (Faker),annual,birthday,Korea,Gamer
1912,5,10,Tôn Thất Tùng,annual,birthday,Vietnam,
1900,5,11,Hồ Đắc Di,annual,birthday,Vietnam,
