year,month,date,title,frequency,type,country,field
1986,1,4,James Milner,annual,birthday,United Kingdom,Football
1990,1,4,Toni Kroos,annual,birthday,Germany,Football
1991,1,7,Eden Hazard,annual,birthday,Belgium,Football
1986,1,8,David Silva,annual,birthday,Spain,Football
1978,1,9,Gennaro Gattuso,annual,birthday,Italy,Football
1987,1,11,Jamie Vardy,annual,birthday,United Kingdom,Football
1992,1,11,Dani Carvajal,annual,birthday,Spain,Football
1997,1,13,Luis Díaz,annual,birthday,Colombia,Football
1995,1,16,Minamino Takumi,annual,birthday,Japan,Football
1985,1,16,Pablo Zabaleta,annual,birthday,Argentina,Football
1971,1,18,Pep Guardiola,annual,birthday,Spain,Football
1984,1,23,Arjen Robben,annual,birthday,Netherlands,Football
1987,1,24,Luis Suárez,annual,birthday,Uruguay,Football
1942,1,25,Eusébio,annual,birthday,Portugal,Football
1980,1,25,Xavi,annual,birthday,Spain,Football
1963,1,26,José Mourinho,annual,birthday,Portugal,Football
1978,1,28,Jamie Carragher,annual,birthday,United Kingdom,Football
1978,1,28,Gianluigi Buffon,annual,birthday,Italy,Football
1915,2,1,Stanley Matthews,annual,birthday,United Kingdom,Football
1969,2,1,Gabriel Batistuta,annual,birthday,Argentina,Football
1987,2,2,Gerard Piqué,annual,birthday,Spain,Football
1985,2,5,Cristiano Ronaldo,annual,birthday,Portugal,Football
1992,2,5,Neymar,annual,birthday,Brazil,Football
1995,2,8,Joshua Kimmich,annual,birthday,Germany,Football
1993,2,9,Endō Wataru,annual,birthday,Japan,Football
1951,2,14,Kevin Keegan,annual,birthday,United Kingdom,Football
1988,2,14,Ángel Di María,annual,birthday,Argentina,Football
1967,2,18,Roberto Baggio,annual,birthday,Italy,Football
1975,2,18,Gary Neville,annual,birthday,United Kingdom,Football
1981,2,23,Gareth Barry,annual,birthday,United Kingdom,Football
1983,2,26,Pepe,annual,birthday,Portugal,Football
1951,3,4,Kenny Dalglish,annual,birthday,United Kingdom,Football
1994,3,11,Andy Robertson,annual,birthday,United Kingdom,Football
1978,3,11,Didier Drogba,annual,birthday,Ivory Coast,Football
1986,3,17,Edin Džeko,annual,birthday,Bosnia and Herzegovina,Football
1976,3,19,Alessandro Nesta,annual,birthday,Italy,Football
1984,3,20,Fernando Torres,annual,birthday,Spain,Football
1980,3,21,Ronaldinho,annual,birthday,Brazil,Football
1963,3,21,Ronald Koeman,annual,birthday,Netherlands,Football
1961,3,21,Lothar Matthäus,annual,birthday,Germany,Football
1973,3,23,Jerzy Dudek,annual,birthday,Poland,Football
1986,3,27,Manuel Neuer,annual,birthday,Germany,Football
1986,3,30,Sergio Ramos,annual,birthday,Spain,Football
1981,3,30,Park Ji-sung,annual,birthday,Korea,Football
1976,4,1,Clarence Seedorf,annual,birthday,Netherlands,Football
2003,4,4,Harvey Elliott,annual,birthday,United Kingdom,Football
1975,4,9,Robbie Fowler,annual,birthday,United Kingdom,Football
1992,4,10,Sadio Mané,annual,birthday,Senegal,Football
1986,4,10,Vincent Kompany,annual,birthday,Belgium,Football
1991,4,11,Thiago Alcântara,annual,birthday,Spain,Football
1978,4,13,Carles Puyol,annual,birthday,Spain,Football
1983,4,13,Claudio Bravo,annual,birthday,Chile,Football
1960,4,16,Rafael Benítez,annual,birthday,Spain,Football
1972,4,19,Rivaldo,annual,birthday,Brazil,Football
1992,4,21,Isco,annual,birthday,Spain,Football
1982,4,22,Kaká,annual,birthday,Brazil,Football
1976,4,24,Steve Finnan,annual,birthday,Ireland,Football
1947,4,25,Johan Cruyff,annual,birthday,Netherlands,Football
1993,4,25,Raphaël Varane,annual,birthday,France,Football
1975,5,2,David Beckham,annual,birthday,United Kingdom,Football
,5,3,Golda Meir,annual,birthday,Israel,
1987,5,4,Cesc Fàbregas,annual,birthday,Spain,Football
1999,5,7,Cody Gakpo,annual,birthday,Netherlands,Football
1960,5,8,Franco Baresi,annual,birthday,Italy,Football
1945,5,9,Jupp Heynckes,annual,birthday,Germany,Football
1988,5,10,Adam Lallana,annual,birthday,United Kingdom,Football
1984,5,11,Andrés Iniesta,annual,birthday,Spain,Football
1988,5,12,Marcelo Vieira,annual,birthday,Brazil,Football
