year,month,date,title,frequency,type,country,field
1970,4,29,Andre Agassi,annual,birthday,United States,Tennis
2003,5,5,Carlos Alcaraz,annual,birthday,Spain,Tennis
1987,5,15,Andy Murray,annual,birthday,United Kingdom,Tennis
1987,5,22,Novak Djokovic,annual,birthday,Serbia,Tennis
1986,6,3,Rafael Nadal,annual,birthday,Spain,Tennis
1980,6,17,Venus Williams,annual,birthday,United States,Tennis
1981,8,8,Roger Federer,annual,birthday,Switzerland,Tennis
2001,8,16,Jannik Sinner,annual,birthday,Italy,Tennis
1981,9,26,Serena Williams,annual,birthday,United States,Tennis
1997,10,16,Naomi Osaka,annual,birthday,Japan,Tennis
