year,month,date,title,frequency,type,country,field
1808,1,13,Salmon P. Chase,annual,birthday,United States,Supreme Court Chief Justice
1890,1,22,Fred M. Vinson,annual,birthday,United States,Supreme Court Chief Justice
1955,1,27,John Roberts,annual,birthday,United States,Supreme Court Chief Justice
1833,2,11,Melville Fuller,annual,birthday,United States,Supreme Court Chief Justice
1777,3,17,Roger B. Taney,annual,birthday,United States,Supreme Court Chief Justice
1891,3,19,Earl Warren,annual,birthday,United States,Supreme Court Chief Justice
1862,4,11,Charles Evans Hughes,annual,birthday,United States,Supreme Court Chief Justice
1745,4,29,Oliver Ellsworth,annual,birthday,United States,Supreme Court Chief Justice
1739,9,17,John Rutledge,annual,birthday,United States,Supreme Court Chief Justice
1907,9,17,Warren E. Burger,annual,birthday,United States,Supreme Court Chief Justice
1755,9,24,John Marshall,annual,birthday,United States,Supreme Court Chief Justice
1924,10,1,William Rehnquist,annual,birthday,United States,Supreme Court Chief Justice
1872,10,11,Harlan F. Stone,annual,birthday,United States,Supreme Court Chief Justice
1845,11,3,Edward Douglass White,annual,birthday,United States,Supreme Court Chief Justice
1816,11,29,Morrison Waite,annual,birthday,United States,Supreme Court Chief Justice
1745,12,23,John Jay,annual,birthday,United States,Supreme Court Chief Justice
