year,month,date,title,frequency,type,country,field
1750,1,1,Frederick Muhlenberg,annual,birthday,United States,Speaker of the House
1942,1,2,Dennis Hastert,annual,birthday,United States,Speaker of the House
1882,1,6,Sam Rayburn,annual,birthday,United States,Speaker of the House
1784,1,21,Andrew Stevenson,annual,birthday,United States,Speaker of the House
1965,1,26,Kevin McCarthy,annual,birthday,United States,Speaker of the House
1750,1,29,Joseph Bradley Varnum,annual,birthday,United States,Speaker of the House
1845,1,29,Charles F. Crisp,annual,birthday,United States,Speaker of the House
1970,1,29,Paul Ryan,annual,birthday,United States,Speaker of the House
1816,1,30,Nathaniel P. Banks,annual,birthday,United States,Speaker of the House
1836,1,30,J. Warren Keifer,annual,birthday,United States,Speaker of the House
1972,1,30,Mike Johnson,annual,birthday,United States,Speaker of the House
1830,1,31,James G. Blaine,annual,birthday,United States,Speaker of the House
1802,2,14,John D. White,annual,birthday,United States,Speaker of the House
1796,2,18,John Bell,annual,birthday,United States,Speaker of the House
1929,3,6,Tom Foley,annual,birthday,United States,Speaker of the House
1850,3,7,Champ Clark,annual,birthday,United States,Speaker of the House
1840,3,14,David B. Henderson,annual,birthday,United States,Speaker of the House
1827,3,15,Michael C. Kerr,annual,birthday,United States,Speaker of the House
1823,3,23,Schuyler Colfax,annual,birthday,United States,Speaker of the House
1940,3,26,Nancy Pelosi,annual,birthday,United States,Speaker of the House
1740,3,26,Jonathan Trumbull Jr.,annual,birthday,United States,Speaker of the House
1784,3,26,John W. Taylor,annual,birthday,United States,Speaker of the House
1777,4,12,Henry Clay,annual,birthday,United States,Speaker of the House
1874,4,12,William B. Bankhead,annual,birthday,United States,Speaker of the House
1799,4,16,John Wesley Davis,annual,birthday,United States,Speaker of the House
1809,4,21,Robert M. T. Hunter,annual,birthday,United States,Speaker of the House
1796,5,4,William Pennington,annual,birthday,United States,Speaker of the House
1836,5,7,Joseph Gurney Cannon,annual,birthday,United States,Speaker of the House
1746,5,9,Theodore Sedgwick,annual,birthday,United States,Speaker of the House
1908,5,10,Carl Albert,annual,birthday,United States,Speaker of the House
1809,5,12,Robert C. Winthrop,annual,birthday,United States,Speaker of the House
1822,5,12,James Lawrence Orr,annual,birthday,United States,Speaker of the House
1783,5,25,Philip P. Barbour,annual,birthday,United States,Speaker of the House
1943,6,17,Newt Gingrich,annual,birthday,United States,Speaker of the House
1869,7,20,Jo Byrns,annual,birthday,United States,Speaker of the House
1860,8,20,Henry T. Rainey,annual,birthday,United States,Speaker of the House
1823,8,31,Galusha A. Grow,annual,birthday,United States,Speaker of the House
1834,9,5,John G. Carlisle,annual,birthday,United States,Speaker of the House
1815,9,7,Howell Cobb,annual,birthday,United States,Speaker of the House
1776,9,17,Langdon Cheves,annual,birthday,United States,Speaker of the House
1828,10,10,Samuel J. Randall,annual,birthday,United States,Speaker of the House
1760,10,16,Jonathan Dayton,annual,birthday,United States,Speaker of the House
1851,10,16,Frederick H. Gillett,annual,birthday,United States,Speaker of the House
1839,10,18,Thomas Brackett Reed,annual,birthday,United States,Speaker of the House
1884,11,3,Joseph W. Martin Jr.,annual,birthday,United States,Speaker of the House
1869,11,5,Nicholas Longworth,annual,birthday,United States,Speaker of the House
1949,11,17,John Boehner,annual,birthday,United States,Speaker of the House
1791,11,22,John Winston Jones,annual,birthday,United States,Speaker of the House
1800,11,22,Linn Boyd,annual,birthday,United States,Speaker of the House
1868,11,22,John Nance Garner,annual,birthday,United States,Speaker of the House
1912,12,9,Tip O'Neill,annual,birthday,United States,Speaker of the House
1757,12,17,Nathaniel Macon,annual,birthday,United States,Speaker of the House
1891,12,21,John W. McCormack,annual,birthday,United States,Speaker of the House
1922,12,22,Jim Wright,annual,birthday,United States,Speaker of the House
1824,12,31,Theodore M. Pomeroy,annual,birthday,United States,Speaker of the House
